,Kryterium 1,Kryterium 2,Kryterium 3
0,2,3,1
1,1,2,1
2,0,0,1
3,1,1,2
4,2,2,2
5,2,4,2
6,0,2,4
7,5,0,4
8,3,1,3
9,2,4,0
10,3,1,2
11,0,2,2
12,3,2,1
13,1,5,1
14,2,0,1
15,1,5,1
16,2,3,2
17,1,3,0
18,3,1,3
19,3,1,0
20,1,3,2
21,2,1,1
22,1,1,3
23,3,0,2
24,2,1,1
25,4,0,3
26,1,1,4
27,2,2,2
28,5,0,2
29,1,3,3
30,3,2,3
31,4,4,3
32,2,3,2
33,2,1,2
34,3,3,2
35,2,1,2
36,1,2,2
37,2,3,2
38,1,1,4
39,2,1,3
40,2,3,4
41,4,1,2
42,3,2,3
43,0,1,2
44,1,1,3
45,0,5,0
46,0,1,5
47,2,1,3
48,1,1,2
49,0,3,1
50,2,2,2
51,2,1,1
52,3,3,1
53,3,0,1
54,2,0,2
55,3,4,1
56,2,2,3
57,1,2,2
58,2,2,3
59,3,1,2
60,2,2,0
61,2,2,2
62,2,1,5
63,1,1,3
64,1,2,0
65,2,4,1
66,3,0,3
67,3,4,2
68,0,2,1
69,3,4,2
70,2,2,0
71,5,2,5
72,0,1,1
73,1,2,4
74,1,1,3
75,1,2,2
76,0,5,0
77,0,4,3
78,2,5,3
79,5,2,4
80,4,0,3
81,3,2,1
82,3,2,4
83,3,2,3
84,0,0,2
85,3,1,2
86,1,5,2
87,0,3,2
88,1,2,4
89,5,3,2
90,2,2,2
91,2,2,2
92,1,0,3
93,1,2,1
94,3,2,4
95,1,2,1
96,2,5,2
97,2,0,4
98,3,2,0
99,2,3,0
